Domain,Rank,Category,Language,SLD,SLD Rank,SLD Category,SLD Language,DNS,HTTP,IP,IP Details,,,,
,,,,,,,,,,,107.21.99.190,N,US,Ashburn,39.0437/-77.4875
,,,,,,,,,,,107.21.95.3,N,US,Ashburn,39.0437/-77.4875
marvelitech.com,179486,,,marvelitech.com,179486,,,N,N,Y,72.249.68.78,Y,US,St Louis,38.6143/-90.4444
anaheim.net,179508,,,anaheim.net,179508,,,N,N,Y,74.118.32.68,Y,US,Anaheim,33.8263/-117.9106
jo-bagno.it,179562,,,jo-bagno.it,179562,,,N,N,Y,37.252.127.233,Y,NL,None,52.5/5.75
rt-mart.com.tw,179586,,,rt-mart.com.tw,179586,,,N,N,P,59.124.116.0,Y,TW,None,23.5/121.0
,,,,,,,,,,,211.79.198.2,N,TW,Taipei,25.0392/121.525
bizmotiv.ru,179597,,,bizmotiv.ru,179597,,,N,N,P,90.156.201.68,Y,RU,None,60.0/100.0
,,,,,,,,,,,90.156.201.67,N,RU,None,60.0/100.0
,,,,,,,,,,,90.156.201.63,N,RU,None,60.0/100.0
,,,,,,,,,,,90.156.201.47,N,RU,None,60.0/100.0
douch.net,179615,,,douch.net,179615,,,N,N,Y,27.96.59.193,Y,JP,None,35.69/139.69
5minuteenglish.com,179626,,,5minuteenglish.com,179626,,,N,N,Y,68.65.237.122,Y,US,South Bend,41.6565/-86.3473
ibtikarworld.com,179676,,,ibtikarworld.com,179676,,,N,N,P,184.168.221.4,Y,US,Scottsdale,33.6119/-111.8906
,,,,,,,,,,,216.239.38.21,N,US,Mountain View,37.4192/-122.0574
,,,,,,,,,,,216.239.32.21,N,US,Mountain View,37.4192/-122.0574
,,,,,,,,,,,216.239.34.21,N,US,Mountain View,37.4192/-122.0574
,,,,,,,,,,,216.239.36.21,N,US,Mountain View,37.4192/-122.0574
nowinstock.net,179698,,,nowinstock.net,179698,,,N,N,Y,69.167.138.72,Y,US,Lansing,42.7257/-84.636
eulam.com,179715,,,eulam.com,179715,,,N,Y,N,96.46.8.221,N,US,Pasadena,34.1379/-118.1296
dalailama.com,179737,,,dalailama.com,179737,,,N,Y,N,154.35.160.5,N,US,None,38.0/-97.0
galaxyandroids.com,179754,,,galaxyandroids.com,179754,,,N,N,Y,108.163.201.59,Y,US,Chicago,41.8876/-87.6368
unipv.eu,179792,,,unipv.eu,179792,,,N,N,Y,193.204.35.27,Y,IT,Pavia,45.1667/9.1667
sat-vb.com,179824,,,sat-vb.com,179824,,,N,N,Y,37.59.35.31,Y,FR,None,48.86/2.35
aiadmk.com,179843,,,aiadmk.com,179843,,,N,N,P,199.83.129.168,Y,US,Los Angeles,34.0522/-118.2437
,,,,,,,,,,,199.83.131.85,N,US,Dover,39.1588/-75.4941
adf01.net,179856,,,adf01.net,179856,,,N,N,Y,166.78.78.161,Y,US,San Antonio,29.4889/-98.3987
sliiing.com,179868,,,sliiing.com,179868,,,N,N,Y,173.239.3.116,Y,US,Garden City,40.7276/-73.6344
qilanxiaozhu.com,179905,,,qilanxiaozhu.com,179905,,,N,Y,N,125.76.225.26,N,CN,Xi'an,34.2583/108.9286
click-flick.org,180078,,,click-flick.org,180078,,,N,N,Y,184.168.221.31,Y,US,Scottsdale,33.6119/-111.8906
dreammovie.in,180158,,,dreammovie.in,180158,,,N,N,Y,188.40.89.145,Y,DE,None,51.0/9.0
simplysuperheroes.com,180160,,,simplysuperheroes.com,180160,,,N,N,Y,50.63.202.19,Y,US,Scottsdale,33.6119/-111.8906
kino.com.ua,180197,,,kino.com.ua,180197,,,N,N,Y,213.169.69.101,Y,UA,None,49.0/32.0
mercatornet.com,180222,,,mercatornet.com,180222,,,N,N,Y,207.198.120.56,Y,US,Jacksonville,30.1438/-81.5401
extravid.com,180233,,,extravid.com,180233,,,N,Y,N,216.18.186.195,N,US,Waltham,42.403/-71.259
wanglaolu.com,180242,,,wanglaolu.com,180242,,,N,Y,N,203.156.196.155,N,CN,None,35.0/105.0
sbpub.com,180256,,,sbpub.com,180256,,,N,N,Y,199.229.227.235,Y,US,New York,40.7605/-73.9933
planetrealtor.com,180274,,,planetrealtor.com,180274,,,N,N,Y,65.117.180.224,Y,US,Orlando,28.4959/-81.2388
3arabtv.com,180289,,,3arabtv.com,180289,,,N,Y,N,108.163.185.42,N,CA,Montreal,45.5/-73.5833
alltechtweaks.com,180310,,,alltechtweaks.com,180310,,,N,N,P,50.63.202.13,Y,US,Scottsdale,33.6119/-111.8906
,,,,,,,,,,,216.239.36.21,N,US,Mountain View,37.4192/-122.0574
,,,,,,,,,,,216.239.32.21,N,US,Mountain View,37.4192/-122.0574
,,,,,,,,,,,216.239.34.21,N,US,Mountain View,37.4192/-122.0574
interestingsubject.com,180316,,,interestingsubject.com,180316,,,N,N,Y,50.28.68.31,Y,US,Lansing,42.7257/-84.636
unishivaji.ac.in,180324,,,unishivaji.ac.in,180324,,,N,N,Y,210.212.172.142,Y,IN,Ichalkaranji,16.7/74.4667
140dev.com,180337,,,140dev.com,180337,,,N,Y,N,64.182.114.180,N,US,Dallas,32.8148/-96.8705
sirsidynix.net,180367,,,sirsidynix.net,180367,,,N,N,Y,192.150.149.139,Y,US,None,38.0/-97.0
lubeyourtube.com,180376,,,lubeyourtube.com,180376,,,N,N,Y,64.69.94.193,Y,CA,Vancouver,49.2836/-123.1041
ihh.org.tr,180479,,,ihh.org.tr,180479,,,N,Y,N,37.9.202.80,N,TR,Bulut,40.6939/37.5594
getclearthinking.com,180541,,,getclearthinking.com,180541,,,N,N,Y,205.134.255.14,Y,US,Los Angeles,34.1173/-118.26
flyvpn.com,180549,,,flyvpn.com,180549,,,Y,Y,N,118.142.39.99,N,HK,None,22.25/114.1667
oon.vn,180612,,,oon.vn,180612,,,N,N,Y,223.27.110.8,Y,VN,None,16.0/106.0
malldj.com,180676,,,malldj.com,180676,,,N,N,Y,211.78.18.20,Y,TW,Taipei,25.0392/121.525
chipvideos.com,180721,,,chipvideos.com,180721,,,N,N,Y,192.163.240.240,Y,US,Provo,40.2181/-111.6133
gammatrix.com,180754,,,gammatrix.com,180754,,,N,N,P,109.205.92.219,Y,RO,None,46.0/25.0
,,,,,,,,,,,109.205.92.90,N,RO,None,46.0/25.0
enbicipormadrid.es,180811,,,enbicipormadrid.es,180811,,,N,N,Y,74.125.47.121,Y,US,Mountain View,37.4192/-122.0574
gsnrecipes.com,180822,,,gsnrecipes.com,180822,,,N,N,Y,209.134.150.37,Y,US,Eden Prairie,44.8558/-93.4408
bcaimage.com,180828,,,bcaimage.com,180828,,,N,N,Y,195.242.122.0,Y,GB,None,51.5/-0.13
grailed.com,180831,,,grailed.com,180831,,,N,N,Y,50.63.202.24,Y,US,Scottsdale,33.6119/-111.8906
www.agriturismocalealta.it,,,,agriturismocalealta.it,180844,,,N,N,Y,213.205.40.169,Y,IT,None,42.8333/12.8333
aeicms.com,180946,,,aeicms.com,180946,,,N,N,Y,216.194.169.205,Y,US,Los Angeles,33.9571/-118.4041
coldline.hu,180948,,,coldline.hu,180948,,,N,N,Y,87.229.48.170,Y,HU,None,47.0/20.0
frasedehoy.com,180949,,,frasedehoy.com,180949,,,N,N,Y,98.124.198.1,Y,US,Kirkland,47.6727/-122.1873
riversideonline.com,180980,,,riversideonline.com,180980,,,N,N,Y,24.248.24.17,Y,US,Newport News,36.9788/-76.428
cootrack.net,181090,,,cootrack.net,181090,,,N,N,Y,59.188.23.235,Y,HK,None,22.25/114.1667
musicarts.com,181136,,,musicarts.com,181136,,,N,N,Y,208.45.129.215,Y,US,Denver,39.7525/-104.9995
ubu.es,181155,,,ubu.es,181155,,,N,N,P,193.146.164.228,Y,ES,Burgos,42.3502/-3.6753
,,,,,,,,,,,10.160.1.18,N,,,
,,,,,,,,,,,10.160.1.27,N,,,
,,,,,,,,,,,10.160.1.31,N,,,
,,,,,,,,,,,10.160.1.32,N,,,
,,,,,,,,,,,193.146.160.11,N,ES,Burgos,42.3502/-3.6753
comsoc.org,181190,,,comsoc.org,181190,,,N,N,P,140.98.191.194,Y,US,Piscataway,40.4993/-74.399
,,,,,,,,,,,140.98.194.156,N,US,Piscataway,40.4993/-74.399
,,,,,,,,,,,172.20.191.194,N,,,
filmname.in,181256,,,filmname.in,181256,,,N,N,Y,109.201.133.116,Y,NL,Rozendaal,52.0074/5.9654
ukerukun.jp,181300,,,ukerukun.jp,181300,,,N,N,Y,160.17.2.6,Y,JP,None,35.69/139.69
gainsaver.com,181353,,,gainsaver.com,181353,,,N,N,Y,64.93.79.80,Y,US,Los Angeles,34.0565/-118.4136
www.bootrepair.com,,,,bootrepair.com,181369,,,N,N,P,208.73.211.249,Y,US,Los Angeles,34.0533/-118.2549
,,,,,,,,,,,208.73.211.177,N,US,Los Angeles,34.0533/-118.2549
,,,,,,,,,,,208.73.211.164,N,US,Los Angeles,34.0533/-118.2549
,,,,,,,,,,,208.73.211.182,N,US,Los Angeles,34.0533/-118.2549
,,,,,,,,,,,208.73.211.236,N,US,Los Angeles,34.0533/-118.2549
geektation.com,181378,,,geektation.com,181378,,,N,N,P,74.125.47.121,Y,US,Mountain View,37.4192/-122.0574
,,,,,,,,,,,216.239.32.21,N,US,Mountain View,37.4192/-122.0574
,,,,,,,,,,,216.239.34.21,N,US,Mountain View,37.4192/-122.0574
,,,,,,,,,,,216.239.36.21,N,US,Mountain View,37.4192/-122.0574
,,,,,,,,,,,216.239.38.21,N,US,Mountain View,37.4192/-122.0574
www.srvdl.net,,,,srvdl.net,181441,,,N,N,P,88.190.230.146,Y,FR,Paris,48.8667/2.3333
,,,,,,,,,,,88.190.223.148,N,FR,Paris,48.8667/2.3333
iac.es,181460,,,iac.es,181460,,,N,N,Y,161.72.2.178,Y,ES,Isla Becoa,43.359/-2.6664
,,,,,,,,,,,161.72.2.39,Y,ES,Isla Becoa,43.359/-2.6664
,,,,,,,,,,,161.72.2.14,Y,ES,Isla Becoa,43.359/-2.6664
theodinproject.com,181506,,,theodinproject.com,181506,,,N,N,Y,184.168.221.27,Y,US,Scottsdale,33.6119/-111.8906
shopvisible.com,181548,,,shopvisible.com,181548,,,N,N,Y,216.139.247.31,Y,US,Austin,30.2643/-97.7138
tomatoi.st,181575,,,tomatoi.st,181575,,,N,N,P,107.21.105.64,Y,US,Ashburn,39.0437/-77.4875
,,,,,,,,,,,50.16.215.20,N,US,Ashburn,39.0437/-77.4875
,,,,,,,,,,,107.22.233.251,N,US,Ashburn,39.0437/-77.4875
,,,,,,,,,,,54.225.208.28,N,US,Ashburn,39.0437/-77.4875
,,,,,,,,,,,107.21.106.65,N,US,Ashburn,39.0437/-77.4875
mmxxdd.com,181622,,,mmxxdd.com,181622,,,N,N,Y,67.228.237.240,Y,US,Dallas,32.9299/-96.8353
daiken.jp,181627,,,daiken.jp,181627,,,N,N,Y,202.218.35.163,Y,JP,None,35.69/139.69
livingnaturally.com,181649,,,livingnaturally.com,181649,,,N,N,Y,64.238.192.70,Y,US,Philadelphia,39.9523/-75.1638
film30t.in,181650,,,film30t.in,181650,,,N,N,Y,109.201.133.116,Y,NL,Rozendaal,52.0074/5.9654
xenforo.info,181656,,,xenforo.info,181656,,,N,N,Y,217.12.207.220,Y,UA,None,49.0/32.0
sorisomail.com,181713,,,sorisomail.com,181713,,,N,N,Y,72.55.157.121,Y,CA,Montreal,45.5/-73.5833
sagepayments.net,181753,,,sagepayments.net,181753,,,N,N,Y,206.16.232.74,Y,US,None,38.0/-97.0
mothergooseclub.com,181883,,,mothergooseclub.com,181883,,,N,N,Y,216.194.164.62,Y,US,Los Angeles,33.9571/-118.4041
passwird.com,181900,,,passwird.com,181900,,,N,N,Y,98.124.198.1,Y,US,Kirkland,47.6727/-122.1873
110139.com,181938,,,110139.com,181938,,,N,Y,N,218.201.250.69,N,CN,Guiyang,26.5833/106.7167
wilsonparking.com.au,181950,,,wilsonparking.com.au,181950,,,N,N,Y,103.9.64.117,Y,AU,None,-27.0/133.0
livin3.com,181954,,,livin3.com,181954,,,N,N,Y,50.63.202.3,Y,US,Scottsdale,33.6119/-111.8906
doofclenas.com,181958,,,doofclenas.com,181958,,,N,N,Y,66.135.40.57,Y,US,San Antonio,29.4889/-98.3987
161sex.com,181970,,,161sex.com,181970,,,N,Y,N,75.126.147.106,N,US,Dallas,32.9299/-96.8353
i-ways-network.org,181994,,,i-ways-network.org,181994,,,N,N,Y,46.30.80.161,Y,DE,None,51.0/9.0
diarioelarticulista.com,182010,,,diarioelarticulista.com,182010,,,N,N,Y,50.63.202.29,Y,US,Scottsdale,33.6119/-111.8906
irtve.es,182019,,,irtve.es,182019,,,N,N,Y,88.84.91.230,Y,ES,None,40.0/-4.0
zeromargin.com,182252,,,zeromargin.com,182252,,,N,N,Y,65.19.133.59,Y,US,Fremont,37.5155/-121.8962
amebame.com,182253,,,amebame.com,182253,,,N,N,Y,58.138.160.2,Y,JP,Tokyo,35.685/139.7514
www.wabcradio.com,,,,wabcradio.com,182258,,,N,N,Y,199.83.129.10,Y,US,Los Angeles,34.0522/-118.2437
canadianmortgagetrends.com,182279,,,canadianmortgagetrends.com,182279,,,N,N,Y,184.168.221.27,Y,US,Scottsdale,33.6119/-111.8906
bravopokerlive.com,182383,,,bravopokerlive.com,182383,,,N,N,Y,184.168.221.6,Y,US,Scottsdale,33.6119/-111.8906
myjabong.com,182420,,,myjabong.com,182420,,,N,N,Y,184.168.221.31,Y,US,Scottsdale,33.6119/-111.8906
hcl.in,182450,,,hcl.in,182450,,,N,N,P,192.8.194.0,Y,US,Sunnyvale,37.3887/-122.0188
,,,,,,,,,,,192.8.220.0,Y,IN,None,20.0/77.0
,,,,,,,,,,,203.105.185.18,N,IN,None,20.0/77.0
philosophy-online.com,182467,,,philosophy-online.com,182467,,,N,N,Y,50.62.42.123,Y,US,Scottsdale,33.6119/-111.8906
p30hosting.com,182491,,,p30hosting.com,182491,,,N,N,Y,192.30.82.189,Y,US,Las Vegas,36.1979/-115.266
ucsfmedicalcenter.org,182494,,,ucsfmedicalcenter.org,182494,,,N,N,P,64.54.128.200,Y,US,San Francisco,37.7631/-122.4586
,,,,,,,,,,,64.54.46.160,N,US,San Francisco,37.7631/-122.4586
,,,,,,,,,,,64.54.42.24,N,US,San Francisco,37.7631/-122.4586
,,,,,,,,,,,64.54.50.49,N,US,San Francisco,37.7631/-122.4586
,,,,,,,,,,,64.54.45.19,N,US,San Francisco,37.7631/-122.4586
,,,,,,,,,,,64.54.33.20,N,US,San Francisco,37.7631/-122.4586
,,,,,,,,,,,64.54.119.236,N,US,San Francisco,37.7631/-122.4586
,,,,,,,,,,,64.54.42.95,N,US,San Francisco,37.7631/-122.4586
,,,,,,,,,,,10.19.20.20,N,,,
,,,,,,,,,,,64.54.46.176,N,US,San Francisco,37.7631/-122.4586
,,,,,,,,,,,64.54.50.48,N,US,San Francisco,37.7631/-122.4586
,,,,,,,,,,,64.54.46.34,N,US,San Francisco,37.7631/-122.4586
,,,,,,,,,,,169.254.46.229,N,,,
,,,,,,,,,,,64.54.119.237,N,US,San Francisco,37.7631/-122.4586
,,,,,,,,,,,64.54.43.19,N,US,San Francisco,37.7631/-122.4586
ihostexchange.net,182508,,,ihostexchange.net,182508,,,N,N,P,66.46.182.0,Y,CA,None,60.0/-95.0
,,,,,,,,,,,66.46.182.185,N,CA,None,60.0/-95.0
seogdk.com,182594,,,seogdk.com,182594,,,N,N,P,184.168.221.23,Y,US,Scottsdale,33.6119/-111.8906
,,,,,,,,,,,216.239.34.21,N,US,Mountain View,37.4192/-122.0574
,,,,,,,,,,,216.239.36.21,N,US,Mountain View,37.4192/-122.0574
,,,,,,,,,,,216.239.38.21,N,US,Mountain View,37.4192/-122.0574
,,,,,,,,,,,216.239.32.21,N,US,Mountain View,37.4192/-122.0574
accroya.com,182637,,,accroya.com,182637,,,N,N,Y,216.194.165.110,Y,US,Los Angeles,33.9571/-118.4041
barrescueupdates.com,182718,,,barrescueupdates.com,182718,,,N,N,Y,50.63.202.13,Y,US,Scottsdale,33.6119/-111.8906
billiger.com,182757,,,billiger.com,182757,,,N,N,Y,62.146.193.222,Y,DE,None,51.0/9.0
vietworldkitchen.com,182767,,,vietworldkitchen.com,182767,,,N,N,Y,50.63.202.30,Y,US,Scottsdale,33.6119/-111.8906
canalpenedo.com.br,182818,,,canalpenedo.com.br,182818,,,N,N,Y,162.243.143.23,Y,US,None,38.0/-97.0
smallbusinesscan.com,182872,,,smallbusinesscan.com,182872,,,N,N,Y,78.137.168.102,Y,GB,None,51.5/-0.13
webtalk.ru,182880,,,webtalk.ru,182880,,,N,N,Y,188.120.248.8,Y,RU,Moscow,55.7522/37.6156
bilbao24horas.com,183028,,,bilbao24horas.com,183028,,,N,N,Y,176.31.47.66,Y,FR,None,48.86/2.35
gp.gov.ua,183077,,,gp.gov.ua,183077,,,N,N,Y,212.26.140.72,Y,UA,None,49.0/32.0
101domain.in,183082,,,101domain.in,183082,,,N,N,Y,182.18.181.147,Y,IN,None,20.0/77.0
jazaab.ir,183083,,,jazaab.ir,183083,,,N,N,Y,85.159.233.171,Y,NL,None,52.5/5.75
interbankcasapropia.pe,183099,,,interbankcasapropia.pe,183099,,,N,N,Y,190.216.181.148,Y,PE,Lima,-12.05/-77.05
www.tcg.gov.tw,,,,tcg.gov.tw,183116,,,N,N,Y,163.29.36.96,Y,TW,None,23.5/121.0
pandoravote.net,183139,,,pandoravote.net,183139,,,N,N,Y,27.96.63.95,Y,JP,None,35.69/139.69
heresex.org,183148,,,heresex.org,183148,,,N,N,Y,93.158.223.21,Y,NL,None,52.5/5.75
parts123.com,183179,,,parts123.com,183179,,,N,N,Y,12.154.96.67,Y,US,None,38.0/-97.0
www.nca.gov.tw,,,,nca.gov.tw,183196,,,N,N,Y,163.29.79.240,Y,TW,None,23.5/121.0
pornstarbook.com,183226,,,pornstarbook.com,183226,,,N,Y,N,,,,,
texasattorneygeneral.gov,183257,,,texasattorneygeneral.gov,183257,,,N,N,Y,204.64.54.12,Y,US,Austin,30.2672/-97.7431
linksvalley.com,183277,,,linksvalley.com,183277,,,N,N,Y,64.31.12.11,Y,US,Dallas,32.7791/-96.8028
www.www.odessa.ua,,,,www.odessa.ua,183291,,,N,N,Y,217.20.166.231,Y,UA,None,49.0/32.0
presentationzen.com,183312,,,presentationzen.com,183312,,,N,N,Y,184.168.221.28,Y,US,Scottsdale,33.6119/-111.8906
vizionplus.tv,183370,,,vizionplus.tv,183370,,,N,N,Y,95.107.162.38,Y,AL,Tirana,41.3275/19.8189
thenewsofiphone.com,183381,,,thenewsofiphone.com,183381,,,N,N,Y,184.168.221.16,Y,US,Scottsdale,33.6119/-111.8906
8diq.com,183437,,,8diq.com,183437,,,N,N,Y,142.4.103.95,Y,US,San Jose,37.3338/-121.8915
ccsurvey.com,183462,,,ccsurvey.com,183462,,,N,N,Y,204.202.9.121,Y,US,Englewood,39.6237/-104.8738
tpsonline.org.uk,183493,,,tpsonline.org.uk,183493,,,N,N,Y,212.100.235.10,Y,GB,None,51.5/-0.13
asiasoftsea.com,183518,,,asiasoftsea.com,183518,,,N,N,Y,121.52.206.184,Y,SG,None,1.3667/103.8
taiwanus.net,183555,,,taiwanus.net,183555,,,N,Y,N,72.55.191.76,N,CA,Montreal,45.5/-73.5833
manpower-me.com,183578,,,manpower-me.com,183578,,,N,N,Y,203.143.137.220,Y,SG,Singapore,1.2931/103.8558
gostosas-do-face.com,183642,,,gostosas-do-face.com,183642,,,N,N,P,74.125.139.121,Y,US,Mountain View,37.4192/-122.0574
,,,,,,,,,,,216.239.36.21,N,US,Mountain View,37.4192/-122.0574
,,,,,,,,,,,216.239.38.21,N,US,Mountain View,37.4192/-122.0574
,,,,,,,,,,,216.239.32.21,N,US,Mountain View,37.4192/-122.0574
,,,,,,,,,,,216.239.34.21,N,US,Mountain View,37.4192/-122.0574
denydesigns.com,183756,,,denydesigns.com,183756,,,N,N,Y,50.63.202.25,Y,US,Scottsdale,33.6119/-111.8906
mp3strana.com,183787,,,mp3strana.com,183787,,,N,Y,N,178.86.26.101,N,UA,None,49.0/32.0
